1500 1500
-986 292 17
696 560 13
-369 825 14
-553 988 14
-810 190 13
-925 323 13
949 95 10
-607 891 15
687 993 20
618 810 15
942 937 14
987 169 10
620 664 16
-784 397 14
-921 510 17
58 998 15
-387 929 19
-688 819 20
374 916 13
-993 342 13
-764 593 13
143 815 16
-547 903 18
848 350 19
-775 711 20
-877 267 20
-417 873 11
-924 533 16
-399 869 17
363 888 11
-951 94 11
953 302 12
-228 898 15
827 272 19
-823 375 19
-594 980 16
383 878 20
466 861 13
615 695 16
394 773 18
-570 725 20
-805 101 17
-672 518 14
-626 947 20
-17 836 16
885 144 14
-884 40 11
328 730 10
373 898 16
149 869 13
-836 269 13
-826 687 15
908 767 19
804 528 11
22 896 19
-844 297 15
-757 685 11
884 439 11
-750 348 12
-855 730 13
-95 875 13
673 464 13
885 703 18
923 181 13
-465 927 10
-895 466 17
-211 972 19
-388 787 16
490 639 10
824 817 13
898 876 17
-950 688 16
340 869 14
-829 320 11
-549 622 20
432 964 11
-530 683 10
851 624 12
4 980 12
784 739 20
-383 939 12
849 178 17
725 970 16
725 626 14
517 926 19
734 839 11
-22 934 10
-675 756 12
788 545 14
-630 779 18
-571 846 11
475 822 17
-369 993 17
445 759 15
898 462 17
987 833 13
-136 909 17
-653 587 10
-319 738 16
672 910 16
636 600 18
801 347 12
-802 225 17
-578 926 19
228 816 14
819 903 16
-698 839 11
495 743 13
-945 492 20
-685 993 14
257 921 10
-916 603 20
-472 891 20
595 690 13
-844 889 18
-760 907 12
883 175 20
496 917 14
-773 927 13
-711 457 12
90 835 10
-377 796 19
841 415 11
-780 711 17
630 645 13
-698 449 12
328 985 16
-988 837 14
130 819 17
680 783 17
-814 432 19
-998 707 12
514 680 13
976 965 14
-822 81 12
542 921 17
-376 829 18
452 704 16
-423 848 16
636 873 10
-977 770 11
-904 420 14
639 593 11
560 741 19
967 556 14
-837 520 18
774 709 15
935 692 12
-932 964 12
-781 535 15
736 995 16
-819 777 13
-984 769 20
805 2 10
896 796 15
825 947 13
-971 645 18
-683 750 10
-130 829 12
999 713 20
-784 909 20
920 469 17
-683 854 16
622 937 19
719 828 20
975 977 13
914 445 10
-794 582 17
-633 861 20
991 904 13
489 659 18
613 660 19
949 755 17
-529 764 14
-851 413 13
508 871 11
-731 722 14
978 947 17
-707 408 17
297 815 17
-203 874 11
682 569 10
-319 832 14
793 727 15
-664 511 19
651 560 15
62 989 12
-818 660 13
-783 308 16
836 785 14
-760 650 19
62 830 19
881 734 19
41 909 11
-757 943 20
-715 427 10
205 802 19
856 29 13
-358 838 20
-925 260 11
-843 461 17
-421 785 12
836 893 14
-701 535 13
-864 608 16
-398 747 17
-891 874 14
718 716 15
548 863 17
84 969 13
-936 964 19
825 34 13
924 560 14
455 887 11
-464 673 10
671 580 13
-902 484 14
-990 282 13
561 726 17
898 96 10
57 942 15
-997 339 19
-840 912 17
-808 721 14
963 173 10
591 996 11
-713 667 19
987 992 11
791 685 14
689 464 19
978 123 15
-985 644 14
-671 811 18
71 860 11
736 459 14
788 570 13
-404 759 10
-988 104 17
317 889 12
826 304 17
922 822 17
-27 1000 11
-684 621 11
830 704 19
-756 802 13
-890 516 18
922 606 16
532 998 12
-430 865 20
671 528 16
983 247 16
-594 946 15
536 715 14
616 751 11
-646 504 17
-80 895 15
800 647 19
-760 881 18
894 168 14
751 424 17
873 640 18
-777 709 20
997 98 18
-315 805 10
-807 757 16
-365 984 15
