10 903
-959.955 -357.299 37.938
-619.713 730.091 40.902
-45.631 -519.169 57.183
-816.947 654.768 44.975
241.737 288.761 87.389
-847.853 -835.361 46.773
376.109 87.925 80.395
1.814 -728.441 65.322
-757.890 708.243 59.771
533.609 -341.535 94.796
340.590 -301.491 -12.034 -23.016
78.797 -751.286 -3.065 -24.171
-270.455 -998.966 -19.595 -15.392
-119.476 457.955 16.827 -9.793
610.102 837.714 13.094 -0.345
-74.361 111.645 24.701 4.930
-601.922 -769.864 -2.364 14.338
763.745 563.905 11.236 2.608
-737.585 968.050 4.592 8.530
-783.236 -938.932 9.359 -1.342
-937.898 590.595 8.266 -1.434
48.550 3.697 13.773 -8.534
-158.590 74.674 16.122 19.176
-813.681 632.890 -0.894 -10.390
863.026 869.687 -21.053 15.669
433.592 607.326 -6.722 17.400
575.376 914.791 0.930 19.803
975.859 -588.405 -6.539 -24.051
-997.810 -930.929 -0.485 1.269
72.768 -468.492 17.735 22.854
606.182 354.258 17.031 19.813
-12.852 -354.526 -15.578 -3.746
-484.839 -465.203 -13.076 23.719
-857.877 208.052 16.119 17.937
122.843 -318.022 12.741 2.468
93.573 -751.913 3.417 2.394
-682.842 -882.751 -21.337 9.748
-351.243 855.896 7.603 -18.627
210.154 -14.669 -23.814 -20.067
630.805 -575.664 1.187 -21.351
-40.867 524.421 -22.632 2.531
-267.528 739.479 -4.531 21.383
-578.543 -671.606 -1.150 12.876
-423.519 -909.321 -9.730 -2.659
-792.072 -242.705 -17.911 -3.583
-386.808 587.670 2.791 20.584
-426.999 159.064 -24.484 -19.905
583.400 68.123 -16.256 -11.437
-407.456 -555.510 16.095 8.125
-816.031 -537.455 4.508 -9.864
-209.062 -865.652 -21.989 9.185
-774.973 -268.753 -18.474 -14.176
488.542 -455.376 7.241 -22.457
-867.706 -598.735 23.127 -7.368
560.328 945.726 -2.272 3.593
13.850 258.872 17.157 15.160
703.362 330.052 -1.715 22.183
792.597 -888.257 -12.681 -10.412
-753.909 -386.789 23.774 -13.222
344.457 -787.987 -2.398 -4.175
-243.363 -806.287 -1.632 -2.777
-405.022 -140.189 14.856 -21.117
-194.462 -496.674 7.476 20.485
762.197 -14.703 10.645 11.639
-684.651 -642.808 8.822 -22.301
-531.065 845.645 -7.713 -7.124
-541.144 -357.565 4.654 20.083
-145.552 -909.784 -9.092 15.277
-716.071 571.045 -12.500 -3.027
-569.143 -905.758 0.855 5.910
-402.433 -666.752 1.395 -16.006
318.545 -518.437 20.633 15.847
-161.244 178.213 18.546 7.692
23.858 -566.681 -24.432 12.068
